gsis_id,full_name,position,age,games_observed,injuries,games_missed,raw_rate,prior_rate,shrunk_rate,expected_missed_per_17,most_common_injury
00-0035208,Olamide Zaccheaus,WR,29.1,36,0,0,0.0,0.171,0.055,0.9,
00-0037291,Jalen Nailor,WR,27.5,36,0,0,0.0,0.16,0.051,0.9,
00-0039410,Ryan Flournoy,WR,26.8,36,0,0,0.0,0.16,0.051,0.9,
00-0038738,Hunter Luepke,RB,26.5,36,0,0,0.0,0.159,0.051,0.9,
00-0036630,Tylan Wallace,WR,27.3,36,0,0,0.0,0.16,0.051,0.9,
00-0036963,Amon-Ra St. Brown,WR,26.9,36,0,0,0.0,0.16,0.051,0.9,
00-0036919,Kenny Gainwell,RB,27.5,36,0,0,0.0,0.159,0.051,0.9,
00-0034827,DJ Moore,WR,29.4,36,0,0,0.0,0.171,0.055,0.9,
00-0037256,Rachaad White,RB,27.6,36,0,0,0.0,0.159,0.051,0.9,
00-0037594,Julius Chestnut,RB,25.8,36,0,0,0.0,0.163,0.052,0.9,
00-0032764,Derrick Henry,RB,32.7,36,0,0,0.0,0.169,0.054,0.9,
00-0039407,Dylan Laube,RB,26.7,36,0,0,0.0,0.159,0.051,0.9,
00-0038619,Andrei Iosivas,WR,26.9,36,0,0,0.0,0.16,0.051,0.9,
00-0039868,Troy Franklin,WR,23.6,36,0,0,0.0,0.172,0.055,0.9,
00-0038454,Keaton Mitchell,RB,24.6,36,0,0,0.0,0.163,0.052,0.9,
00-0038951,Sean Tucker,RB,24.9,36,0,0,0.0,0.163,0.052,0.9,
00-0036407,Jerry Jeudy,WR,27.4,36,0,0,0.0,0.16,0.051,0.9,
00-0033307,Kendrick Bourne,WR,31.1,35,0,0,0.0,0.156,0.051,0.9,
00-0036973,Travis Etienne,RB,27.6,36,0,0,0.0,0.159,0.051,0.9,
00-0038597,Chase Brown,RB,26.4,36,0,0,0.0,0.159,0.051,0.9,
00-0033757,Robert Tonyan,TE,32.3,24,0,0,0.0,0.124,0.051,0.9,
00-0039894,Xavier Worthy,WR,23.3,36,0,0,0.0,0.172,0.055,0.9,
00-0036322,Justin Jefferson,WR,27.2,36,0,0,0.0,0.16,0.051,0.9,
00-0038685,Chris Brooks,RB,26.6,34,0,0,0.0,0.159,0.053,0.9,
00-0039040,De'Von Achane,RB,24.9,36,0,0,0.0,0.163,0.052,0.9,
00-0037304,Connor Heyward,RB,27.6,36,0,0,0.0,0.159,0.051,0.9,
00-0038559,Michael Wilson,WR,26.5,36,0,0,0.0,0.16,0.051,0.9,
00-0035689,Dawson Knox,TE,29.8,36,0,0,0.0,0.14,0.045,0.8,
00-0036727,Adam Prentice,RB,29.6,35,0,0,0.0,0.144,0.047,0.8,
00-0040234,Quinn Ewers,QB,23.5,19,0,0,0.0,0.101,0.047,0.8,
00-0036265,AJ Dillon,RB,28.3,36,0,0,0.0,0.144,0.046,0.8,
00-0036139,Rico Dowdle,RB,28.2,36,0,0,0.0,0.144,0.046,0.8,
00-0034844,Saquon Barkley,RB,29.6,36,0,0,0.0,0.144,0.046,0.8,
00-0035250,Devin Singletary,RB,29.0,36,0,0,0.0,0.144,0.046,0.8,
00-0036422,Adam Trautman,TE,29.6,36,0,0,0.0,0.14,0.045,0.8,
00-0035261,Tony Pollard,RB,29.3,36,0,0,0.0,0.144,0.046,0.8,
00-0040673,Jalen Milroe,QB,23.7,19,0,0,0.0,0.101,0.047,0.8,
00-0036040,Juwan Johnson,TE,30.0,36,0,0,0.0,0.14,0.045,0.8,
00-0036887,Luke Farrell,TE,28.9,36,0,0,0.0,0.14,0.045,0.8,
00-0036876,Kylen Granson,TE,28.4,36,0,0,0.0,0.14,0.045,0.8,
00-0034869,Sam Darnold,QB,29.2,36,1,1,0.028,0.087,0.047,0.8,Glute
00-0035537,Ty Johnson,RB,29.0,36,0,0,0.0,0.144,0.046,0.8,
00-0038400,Tanner McKee,QB,26.3,36,1,1,0.028,0.096,0.05,0.8,Thumb
00-0040206,Riley Leonard,QB,24.0,19,0,0,0.0,0.101,0.047,0.8,
00-0040743,Tyler Shough,QB,26.9,19,0,0,0.0,0.096,0.045,0.8,
00-0036264,Jordan Love,QB,27.8,36,1,1,0.028,0.096,0.05,0.8,Shoulder
00-0034753,Mark Andrews,TE,31.0,36,0,0,0.0,0.124,0.04,0.7,
00-0031484,Chris Manhertz,TE,34.4,36,0,0,0.0,0.124,0.04,0.7,
00-0034798,Durham Smythe,TE,31.1,36,0,0,0.0,0.124,0.04,0.7,
00-0040668,Shedeur Sanders,QB,24.6,19,0,0,0.0,0.088,0.041,0.7,
00-0030506,Travis Kelce,TE,36.9,36,0,0,0.0,0.124,0.04,0.7,
00-0034383,Dalton Schultz,TE,30.1,36,0,0,0.0,0.124,0.04,0.7,
00-0035631,Drew Sample,TE,30.4,36,0,0,0.0,0.124,0.04,0.7,
00-0033090,Hunter Henry,TE,31.7,36,0,0,0.0,0.124,0.04,0.7,
00-0040676,Cam Ward,QB,24.3,19,0,0,0.0,0.088,0.041,0.7,
00-0033246,Johnny Mundt,TE,31.8,36,0,0,0.0,0.124,0.04,0.7,
00-0033858,Jonnu Smith,TE,31.0,36,0,0,0.0,0.124,0.04,0.7,
00-0033217,Mo Alie-Cox,TE,33.0,36,0,0,0.0,0.124,0.04,0.7,
00-0036879,Sam Ehlinger,QB,27.9,28,0,0,0.0,0.096,0.036,0.6,
00-0036972,Mac Jones,QB,28.0,36,0,0,0.0,0.096,0.031,0.5,
00-0033319,Nick Mullens,QB,31.4,35,0,0,0.0,0.086,0.028,0.5,
00-0037013,Zach Wilson,QB,27.1,36,0,0,0.0,0.096,0.031,0.5,
00-0026498,Matthew Stafford,QB,38.6,36,0,0,0.0,0.086,0.028,0.5,
00-0031503,Jameis Winston,QB,32.7,36,0,0,0.0,0.086,0.028,0.5,
00-0026158,Joe Flacco,QB,41.6,36,0,0,0.0,0.086,0.028,0.5,
00-0037077,Sam Howell,QB,26.0,36,0,0,0.0,0.088,0.028,0.5,
00-0029604,Kirk Cousins,QB,38.0,36,0,0,0.0,0.086,0.028,0.5,
00-0035704,Drew Lock,QB,29.8,36,0,0,0.0,0.087,0.028,0.5,
00-0039376,Spencer Rattler,QB,25.9,36,0,0,0.0,0.088,0.028,0.5,
00-0038476,Tommy DeVito,QB,28.1,36,0,0,0.0,0.087,0.028,0.5,
00-0039150,Bryce Young,QB,25.1,36,0,0,0.0,0.088,0.028,0.5,
00-0038416,Tyson Bagent,QB,26.2,36,0,0,0.0,0.096,0.031,0.5,
00-0037012,Trey Lance,QB,26.3,36,0,0,0.0,0.096,0.031,0.5,
00-0038128,Malik Willis,QB,27.3,36,0,0,0.0,0.096,0.031,0.5,
00-0036898,Davis Mills,QB,27.9,36,0,0,0.0,0.096,0.031,0.5,
00-0034577,Kyle Allen,QB,30.5,36,0,0,0.0,0.086,0.028,0.5,
00-0036355,Justin Herbert,QB,28.5,36,0,0,0.0,0.087,0.028,0.5,
00-0035264,Jarrett Stidham,QB,30.1,36,0,0,0.0,0.086,0.028,0.5,
00-0033949,Joshua Dobbs,QB,31.6,36,0,0,0.0,0.086,0.028,0.5,
00-0033662,Cooper Rush,QB,32.8,36,0,0,0.0,0.086,0.028,0.5,
00-0034855,Baker Mayfield,QB,31.4,36,0,0,0.0,0.086,0.028,0.5,
00-0034857,Josh Allen,QB,30.3,36,0,0,0.0,0.086,0.028,0.5,
00-0033106,Jared Goff,QB,31.9,36,0,0,0.0,0.086,0.028,0.5,
00-0027973,Andy Dalton,QB,38.8,36,0,0,0.0,0.086,0.028,0.5,
00-0038102,Kenny Pickett,QB,28.2,36,0,0,0.0,0.087,0.028,0.5,
00-0039851,Drake Maye,QB,24.0,36,0,0,0.0,0.088,0.028,0.5,
00-0033869,Mitchell Trubisky,QB,32.0,36,0,0,0.0,0.086,0.028,0.5,
00-0023459,Aaron Rodgers,QB,42.7,36,0,0,0.0,0.086,0.028,0.5,
00-0039107,Stetson Bennett,QB,28.8,36,0,0,0.0,0.087,0.028,0.5,
00-0033119,Jacoby Brissett,QB,33.7,36,0,0,0.0,0.086,0.028,0.5,
00-0034771,Mason Rudolph,QB,31.1,36,0,0,0.0,0.086,0.028,0.5,
00-0039918,Caleb Williams,QB,24.8,36,0,0,0.0,0.088,0.028,0.5,
00-0039732,Bo Nix,QB,26.5,36,0,0,0.0,0.096,0.031,0.5,
