gsis_id,sleeper_id,full_name,position,team,age,status,report_status,games,raw_ppg,proj_ppg,adj_ppg,adj_note,replacement_ppg,remaining,absence_now,base_miss_rate,most_common_injury,exp_games,availability,exp_ppg,vorp,value,overall_rank,pos_rank
00-0026498,421,Matthew Stafford,QB,LA,38.6,ACT,,34,17.83,17.74,0.0,,17.36,16,0.0,0.028,,15.6,0.97,17.24,5.9,5.9,113,14
00-0034383,5001,Dalton Schultz,TE,HOU,30.1,ACT,,35,9.44,9.37,0.0,,9.01,16,0.0,0.04,,15.4,0.96,8.99,5.4,5.4,114,18
00-0036252,6819,Michael Pittman,WR,PIT,28.9,ACT,Questionable,34,10.83,10.76,0.0,,10.43,16,0.4,0.074,Back,14.5,0.9,9.72,4.7,4.7,115,42
00-0034837,4981,Calvin Ridley,WR,TEN,31.7,ACT,,22,10.9,10.74,0.0,,10.43,16,0.0,0.239,Hamstring,12.2,0.76,8.18,3.8,3.8,116,43
00-0030279,1479,Keenan Allen,WR,IND,34.3,ACT,,33,10.75,10.69,0.0,,10.43,16,0.0,0.069,Heel,14.9,0.93,9.95,3.8,3.8,117,44
00-0039491,11646,Jalen Coker,WR,CAR,24.8,ACT,,22,10.8,10.71,0.0,,10.43,16,0.0,0.206,Quadricep,12.7,0.79,8.51,3.5,3.5,118,45
00-0039732,11563,Bo Nix,QB,DEN,26.5,ACT,,35,17.64,17.59,0.0,,17.36,16,0.0,0.031,,15.5,0.97,17.04,3.5,3.5,119,15
00-0032104,2359,Ameer Abdullah,RB,JAX,33.2,ACT,,14,9.62,9.45,0.0,,9.22,16,0.0,0.079,Foot,14.7,0.92,8.71,3.5,3.5,120,42
00-0040242,12533,Jacory Croskey-Merritt,RB,WAS,25.4,ACT,,16,9.46,9.39,0.0,,9.22,16,0.0,0.077,,14.8,0.92,8.67,2.6,2.6,121,43
00-0037261,8134,Khalil Shakir,WR,BUF,26.6,ACT,,32,10.63,10.59,0.0,,10.43,16,0.0,0.07,Ankle,14.9,0.93,9.85,2.4,2.4,122,46
00-0037120,8207,Tyler Goodson,RB,DAL,25.8,ACT,,3,10.13,9.37,0.0,,9.22,16,0.0,0.111,Groin,14.2,0.89,8.33,2.2,2.2,123,44
00-0033869,3976,Mitchell Trubisky,QB,TEN,32.0,ACT,,3,17.76,17.48,0.0,,17.36,16,0.0,0.028,,15.6,0.97,16.99,1.9,1.9,124,16
00-0036613,7526,Jaylen Waddle,WR,DEN,27.8,ACT,,32,10.59,10.56,0.0,,10.43,16,0.0,0.051,,15.2,0.95,10.02,1.9,1.9,125,47
00-0039373,11579,Audric Estimé,RB,NO,23.0,RES,,10,9.77,9.54,0.0,,9.22,16,8.8,0.206,Thigh,5.7,0.36,3.41,1.9,1.9,126,45
00-0038128,8161,Malik Willis,QB,MIA,27.3,ACT,,7,17.54,17.45,0.0,,17.36,16,0.0,0.031,,15.5,0.97,16.91,1.3,1.3,127,17
00-0037256,8136,Rachaad White,RB,WAS,27.6,ACT,,33,9.28,9.27,0.0,,9.22,16,0.0,0.051,,15.2,0.95,8.8,0.8,0.8,128,46
00-0039875,11575,Ray Davis,RB,BUF,26.8,ACT,,14,9.28,9.25,0.0,,9.22,16,0.0,0.051,,15.2,0.95,8.78,0.5,0.5,129,47
00-0040129,12514,Emeka Egbuka,WR,TB,23.9,ACT,,18,10.47,10.46,0.0,,10.43,16,0.0,0.081,,14.7,0.92,9.61,0.4,0.4,130,48
00-0035645,6699,Gunner Olszewski,WR,NYG,29.8,RES,,2,10.57,10.47,0.0,,10.43,16,8.8,0.394,Groin,4.4,0.27,2.86,0.2,0.2,131,49
00-0041524,13434,Will Kacmarek,TE,MIA,23.6,ACT,,1,0.0,7.27,0.0,,9.01,16,0.0,0.189,,13.0,0.81,5.9,-22.6,0.0,132,19
00-0037078,8214,Cole Turner,TE,MIA,26.5,RES,,0,,9.01,0.0,,9.01,16,8.8,0.255,,5.4,0.34,3.02,0.0,0.0,133,20
00-0034855,4892,Baker Mayfield,QB,TB,31.4,ACT,,35,17.19,17.22,0.0,,17.36,16,0.0,0.028,,15.6,0.97,16.74,-2.3,0.0,134,18
00-0041194,,Jack Strand,QB,ATL,22.2,ACT,,0,,17.36,0.0,,17.36,16,0.0,0.09,,14.6,0.91,15.8,0.0,0.0,135,19
00-0039359,11599,Cade Stover,TE,HOU,26.2,ACT,,21,2.59,4.45,0.0,,9.01,16,0.0,0.247,Illness,12.0,0.75,3.35,-55.0,0.0,136,21
00-0041096,13405,Kaytron Allen,RB,WAS,23.6,ACT,,0,,9.22,0.0,,9.22,16,0.0,0.162,,13.4,0.84,7.73,0.0,0.0,137,48
00-0040648,12497,Tory Horton,WR,SEA,23.8,ACT,,8,8.33,9.35,0.0,,10.43,16,0.0,0.304,Groin,11.1,0.7,6.5,-12.1,0.0,138,50
00-0038129,8111,Cade Otton,TE,TB,27.4,ACT,,30,8.73,8.79,0.0,,9.01,16,0.0,0.077,Knee,14.8,0.92,8.12,-3.3,0.0,139,22
00-0041451,14034,Brock Rechsteiner,WR,NO,24.0,RES,,0,,10.43,0.0,,10.43,16,8.8,0.279,,5.2,0.32,3.39,0.0,0.0,140,51
00-0039299,12048,George Holani,RB,SEA,26.7,ACT,,2,3.35,7.65,0.0,,9.22,16,0.0,0.212,Hamstring,12.6,0.79,6.03,-19.8,0.0,141,49
00-0039603,12171,British Brooks,RB,HOU,26.8,ACT,,1,6.3,8.67,0.0,,9.22,16,0.0,0.277,,11.6,0.72,6.27,-6.3,0.0,142,50
00-0039921,11589,Trey Benson,RB,ARI,24.1,RES,,7,8.97,9.12,0.0,,9.22,16,4.0,0.373,Ankle,7.5,0.47,4.29,-0.8,0.0,143,51
00-0037304,8181,Connor Heyward,RB,LV,27.6,ACT,,9,1.12,5.38,0.0,,9.22,16,0.0,0.051,,15.2,0.95,5.11,-58.2,0.0,144,52
00-0039920,11617,Malachi Corley,WR,CLE,24.4,ACT,,12,2.86,5.4,0.0,,10.43,16,0.0,0.067,,14.9,0.93,5.04,-75.1,0.0,145,52
00-0034365,4995,Ian Thomas,TE,LV,30.2,ACT,,10,3.01,5.55,0.0,,9.01,16,0.0,0.266,Calf,11.7,0.73,4.07,-40.7,0.0,146,23
00-0040676,12522,Cam Ward,QB,TEN,24.3,ACT,,17,11.78,13.23,0.0,,17.36,16,0.0,0.041,,15.3,0.96,12.69,-63.4,0.0,147,20
00-0038679,11377,Tyrell Shavers,WR,BUF,27.0,RES,,11,4.43,6.59,0.0,,10.43,16,8.8,0.121,,6.3,0.4,2.61,-24.3,0.0,148,53
00-0039356,11600,Ja'Tavion Sanders,TE,CAR,23.4,ACT,,26,4.46,5.59,0.0,,9.01,16,0.0,0.143,Neck,13.7,0.86,4.79,-46.9,0.0,149,24
00-0039738,11586,Blake Corum,RB,LA,25.8,ACT,,17,7.91,8.24,0.0,,9.22,16,0.0,0.052,,15.2,0.95,7.82,-14.8,0.0,150,53
00-0038573,10234,Derius Davis,WR,LAC,26.0,ACT,,7,1.62,6.77,0.0,,10.43,16,0.0,0.175,Knee,13.2,0.82,5.59,-48.3,0.0,151,54
00-0041323,13964,Myles Montgomery,RB,NE,23.4,RES,,0,,9.22,0.0,,9.22,16,8.8,0.267,,5.3,0.33,3.04,0.0,0.0,152,54
00-0027973,829,Andy Dalton,QB,PHI,38.8,ACT,,7,6.71,13.26,0.0,,17.36,16,0.0,0.028,,15.6,0.97,12.89,-63.8,0.0,153,21
00-0038608,9504,Kayshon Boutte,WR,HOU,24.3,ACT,,30,8.15,8.64,0.0,,10.43,16,0.0,0.1,Concussion,14.4,0.9,7.77,-25.9,0.0,154,55
00-0040584,12502,Gunnar Helm,TE,TEN,24.0,ACT,,17,5.94,6.74,0.0,,9.01,16,0.0,0.127,Toe,14.0,0.87,5.88,-31.8,0.0,155,25
00-0039066,9482,Michael Mayer,TE,LV,25.2,ACT,,22,6.26,6.98,0.0,,9.01,16,0.0,0.23,Not injury related - personal matter,12.3,0.77,5.37,-25.1,0.0,156,26
00-0040198,12495,Ollie Gordon II,RB,MIA,22.6,ACT,,12,4.42,6.08,0.0,,9.22,16,0.0,0.085,,14.6,0.92,5.56,-46.0,0.0,157,55
00-0035045,6453,D.J. Montgomery,WR,IND,29.8,RES,,0,,10.43,0.0,,10.43,16,4.0,0.608,,4.7,0.29,3.07,0.0,0.0,158,56
00-0041069,13477,Colbie Young,WR,CIN,24.1,ACT,,0,,10.43,0.0,,10.43,16,0.0,0.174,,13.2,0.83,8.62,0.0,0.0,159,57
00-0039793,11603,AJ Barner,TE,SEA,24.3,ACT,,33,7.5,7.78,0.0,,9.01,16,0.0,0.06,,15.0,0.94,7.32,-18.5,0.0,160,27
00-0040187,12473,Mitchell Evans,TE,CAR,23.3,ACT,,14,3.15,4.83,0.0,,9.01,16,0.0,0.1,,14.4,0.9,4.34,-60.3,0.0,161,28
00-0041123,13295,Behren Morton,QB,NE,24.6,ACT,,0,,17.36,0.0,,17.36,16,0.0,0.079,,14.7,0.92,15.99,0.0,0.0,162,22
00-0041496,13345,Jonah Coleman,RB,DEN,23.0,ACT,,0,,9.22,0.0,,9.22,16,0.0,0.162,,13.4,0.84,7.73,0.0,0.0,163,56
00-0040581,12541,Dont'e Thornton Jr.,WR,LV,23.8,RES,,10,2.28,5.51,0.0,,10.43,16,8.8,0.165,Concussion,6.0,0.38,2.07,-29.6,0.0,164,58
00-0041067,13420,Bryce Lance,WR,NO,24.0,ACT,,1,7.2,9.81,0.0,,10.43,16,0.0,0.174,,13.2,0.83,8.1,-8.3,0.0,165,59
00-0035125,6109,Alec Ingold,RB,LAC,30.1,ACT,,20,1.71,3.85,0.0,,9.22,16,0.0,0.054,,15.1,0.95,3.64,-81.3,0.0,166,57
00-0040134,12492,Pat Bryant,WR,DEN,23.7,ACT,,14,6.37,7.57,0.0,,10.43,16,0.0,0.137,Hamstring,13.8,0.86,6.53,-39.6,0.0,167,60
00-0039534,11851,Carter Bradley,QB,JAX,26.5,RES,,0,,17.36,0.0,,17.36,16,4.0,0.114,,10.6,0.66,11.54,0.0,0.0,168,23
00-0038563,10213,Tre Tucker,WR,LV,25.5,ACT,,35,8.18,8.59,0.0,,10.43,16,0.0,0.062,,15.0,0.94,8.06,-27.6,0.0,169,61
00-0036331,6847,Devin Duvernay,WR,ARI,29.0,ACT,,5,3.25,8.15,0.0,,10.43,16,0.0,0.13,,13.9,0.87,7.09,-31.9,0.0,170,62
00-0028118,827,Tyrod Taylor,QB,GB,37.1,ACT,,7,12.5,15.03,0.0,,17.36,16,0.0,0.065,Knee,15.0,0.94,14.05,-34.9,0.0,171,24
00-0041035,13417,De'Zhaun Stribling,WR,SF,23.7,ACT,Out,0,,10.43,0.0,,10.43,16,2.6,0.207,Ankle,10.7,0.67,6.95,0.0,0.0,172,63
00-0039814,11592,Erick All,TE,CIN,26.0,ACT,,8,4.36,7.4,0.0,,9.01,16,0.0,0.532,Knee,7.5,0.47,3.46,-12.1,0.0,173,29
00-0039355,11650,Luke McCaffrey,WR,WAS,25.4,ACT,,18,5.03,6.97,0.0,,10.43,16,0.0,0.213,,12.6,0.79,5.49,-43.6,0.0,174,64
00-0037086,8177,Grant Calcaterra,TE,PHI,27.7,RES,,22,3.5,5.11,0.0,,9.01,16,8.8,0.134,Oblique,6.2,0.39,1.99,-24.4,0.0,175,30
00-0038640,11034,Jalen Brooks,WR,ARI,26.3,ACT,,14,2.87,5.91,0.0,,10.43,16,0.0,0.089,Knee,14.6,0.91,5.38,-66.0,0.0,176,65
00-0040953,13392,Jeff Caldwell,WR,KC,23.5,RES,,0,,10.43,0.0,,10.43,16,8.8,0.26,,5.3,0.33,3.48,0.0,0.0,177,66
00-0039376,11562,Spencer Rattler,QB,NO,25.9,ACT,,15,11.27,13.53,0.0,,17.36,16,0.0,0.028,,15.6,0.97,13.15,-59.7,0.0,178,25
00-0033757,4602,Robert Tonyan,TE,PIT,32.3,ACT,,0,,9.01,0.0,,9.01,16,0.0,0.051,,15.2,0.95,8.55,0.0,0.0,179,31
00-0040466,12472,Raheim Sanders,RB,CLE,24.2,ACT,,4,4.9,7.17,0.0,,9.22,16,0.0,0.077,,14.8,0.92,6.62,-30.3,0.0,180,58
