episode_id,gsis_id,full_name,position,team,season,start_week,end_week,games_missed,ir_games,starts_on_ir,injury,carried_over,parts,n_base,base_share,base_ppg,return_key,games_to_normal,share_ratio_first4,ppg_after_first4,r1,r2,r3,r4,r5,r6,r7,r8,returned,ppg_ratio_first4
67,00-0023459,Aaron Rodgers,QB,GB,2013,10,16,7,0,false,Collarbone,false,1,7,1.000,21.463,201317,0,1.000,16.475,1.000,1.000,1.000,1.000,1.000,0.760,1.000,0.840,true,0.768
68,00-0023459,Aaron Rodgers,QB,GB,2017,7,14,7,7,true,Right Collarbone,false,1,8,0.988,23.793,201715,2,0.954,20.695,1.013,0.780,1.013,1.013,1.013,1.013,1.013,1.013,true,0.870
69,00-0023459,Aaron Rodgers,QB,GB,2017,16,17,2,2,true,Unlabeled (IR),true,1,8,0.878,22.385,201801,0,1.074,18.975,0.877,1.140,1.140,1.140,1.140,1.140,1.140,1.140,true,0.848
70,00-0023459,Aaron Rodgers,QB,GB,2021,9,9,1,1,true,Unlabeled (IR),false,1,8,0.961,20.675,202110,0,1.027,24.975,1.040,1.020,1.040,1.009,1.040,1.040,0.874,0.479,true,1.208
71,00-0023459,Aaron Rodgers,QB,NYJ,2023,2,18,16,13,true,Achilles,true,1,8,0.961,14.195,202401,1,0.975,14.090,0.780,1.040,1.040,1.040,1.040,1.040,1.040,1.040,true,0.993
72,00-0023460,Jason Campbell,QB,CLE,2013,13,13,1,0,false,Concussion,false,1,4,0.755,13.515,201314,0,1.325,14.595,1.325,1.325,1.325,1.325,0.172,0.132,0.159,0.212,true,1.080
73,00-0023462,Roddy White,WR,ATL,2013,7,8,2,0,false,Hamstring,false,1,4,0.705,4.600,201310,0,1.376,10.575,1.348,1.404,1.376,1.376,1.376,1.333,1.418,1.404,true,2.299
75,00-0023496,Vincent Jackson,WR,TB,2015,1,16,15,15,true,Knee,false,1,8,0.959,13.050,201601,1,0.892,6.425,0.834,0.897,0.897,0.939,0.761,,,,true,0.492
76,00-0023496,Vincent Jackson,WR,TB,2016,7,17,11,11,true,Unlabeled (IR),true,1,8,0.751,8.262,,,,,,,,,,,,,false,
77,00-0023500,Frank Gore,RB,MIA,2018,16,17,2,2,true,Not Injury Related,true,1,8,0.450,8.562,201901,1,1.083,11.525,0.644,1.356,1.356,0.978,1.156,1.222,0.644,0.756,true,1.346
78,00-0023500,Frank Gore,RB,NYJ,2020,17,17,1,1,true,Chest,true,1,8,0.412,7.425,,,,,,,,,,,,,false,
83,00-0023564,Darren Sproles,RB,PHI,2016,15,15,1,0,false,Concussion,false,1,8,0.510,10.213,201616,2,1.000,10.050,0.941,0.745,0.961,1.353,0.137,0.784,0.235,0.863,true,0.984
84,00-0023564,Darren Sproles,RB,PHI,2017,4,17,13,13,true,Unlabeled (IR),true,1,8,0.453,10.325,201801,,0.702,8.900,0.884,0.265,0.972,0.685,1.105,0.840,0.663,0.773,true,0.862
85,00-0023564,Darren Sproles,RB,PHI,2018,2,12,10,0,false,Hamstring,false,1,8,0.446,10.075,201813,3,0.768,12.050,0.269,0.986,0.695,1.120,0.852,0.672,0.784,0.807,true,1.196
86,00-0023564,Darren Sproles,RB,PHI,2019,6,8,3,0,false,Quadricep,false,1,8,0.344,7.525,201909,,0.349,2.000,0.349,,,,,,,,true,0.266
87,00-0023564,Darren Sproles,RB,PHI,2019,11,17,7,7,true,Quadricep,true,1,8,0.306,6.000,,,,,,,,,,,,,false,
89,00-0023645,Derek Anderson,QB,CAR,2016,17,17,1,0,false,Illness,true,1,8,0.351,4.280,201703,3,0.883,-0.130,0.427,0.199,0.057,2.847,2.762,,,,true,-0.030
90,00-0023645,Derek Anderson,QB,BUF,2018,10,14,4,0,false,Concussion,false,1,8,0.335,2.269,,,,,,,,,,,,,false,
92,00-0023662,Matt Cassel,QB,MIN,2014,1,3,3,3,true,Unlabeled (IR),false,1,8,0.785,12.240,201501,1,0.962,13.107,0.025,1.274,1.274,1.274,1.274,0.548,1.274,1.274,true,1.071
93,00-0023682,Ryan Fitzpatrick,QB,MIA,2020,17,17,1,1,true,Unlabeled (IR),true,1,8,0.904,17.808,202101,,0.321,0.720,0.321,,,,,,,,true,0.040
94,00-0023682,Ryan Fitzpatrick,QB,WAS,2021,2,18,16,16,true,Hip,true,1,8,0.812,18.538,,,,,,,,,,,,,false,
95,00-0023752,Daniel Fells,TE,NYG,2015,1,2,6,6,true,Foot,false,2,8,0.407,2.186,,,,,,,,,,,,,false,
98,00-0024204,Fred Jackson,RB,BUF,2014,8,8,1,0,false,Groin,false,1,8,0.581,16.337,201410,2,1.011,13.075,0.637,0.826,1.273,1.308,1.273,1.187,0.998,0.292,true,0.800
99,00-0024217,Reggie Bush,RB,SF,2015,1,8,8,8,true,Calf,false,1,8,0.361,10.287,201601,4,0.138,0.167,0.221,0.111,0.111,0.111,0.886,0.941,0.249,0.554,true,0.016
100,00-0024221,Vernon Davis,TE,SF,2015,5,5,1,0,false,Knee,false,1,8,0.984,4.829,201506,1,0.666,4.625,0.590,0.945,0.956,0.173,0.488,0.691,0.783,0.386,true,0.958
101,00-0024221,Vernon Davis,TE,WAS,2019,5,17,12,6,false,Concussion,true,1,8,0.598,7.287,,,,,,,,,,,,,false,
103,00-0024226,Jay Cutler,QB,CHI,2013,9,9,1,0,false,Groin,false,1,6,1.000,18.067,201310,3,0.915,15.280,0.840,1.000,0.820,1.000,1.000,1.000,1.000,0.870,true,0.846
104,00-0024226,Jay Cutler,QB,CHI,2013,11,14,4,0,false,Ankle,false,1,7,0.893,15.360,201315,0,1.070,16.770,1.120,0.918,1.120,1.120,1.120,1.120,0.974,1.120,true,1.092
105,00-0024226,Jay Cutler,QB,CHI,2015,3,3,1,0,false,Hamstring,false,1,8,0.989,14.958,201504,0,1.011,18.420,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,true,1.231
106,00-0024226,Jay Cutler,QB,CHI,2016,13,17,5,4,false,right Shoulder,true,1,8,0.966,11.508,201702,0,1.030,9.085,1.035,1.035,1.035,1.014,1.035,0.528,1.035,1.035,true,0.789
107,00-0024226,Jay Cutler,QB,MIA,2017,8,8,1,0,false,Ribs,false,1,8,0.998,10.115,201709,0,0.837,13.445,1.003,1.003,0.381,0.962,1.003,1.003,1.003,0.040,true,1.329
108,00-0024226,Jay Cutler,QB,MIA,2017,12,12,1,0,false,Concussion,false,1,8,0.936,12.332,201713,0,1.057,14.380,1.025,1.068,1.068,1.068,0.043,,,,true,1.166
110,00-0024240,Santonio Holmes,WR,NYJ,2013,5,9,5,0,false,Foot,false,1,3,0.763,12.267,201311,3,0.668,6.600,0.694,0.983,0.052,0.943,1.114,0.904,1.035,0.498,true,0.538
111,00-0024242,DeAngelo Williams,RB,CAR,2014,5,8,3,0,false,Ankle,false,2,8,0.420,10.825,201409,0,0.774,4.675,0.929,0.881,0.833,0.452,2.024,2.214,0.190,0.238,true,0.432
112,00-0024242,DeAngelo Williams,RB,CAR,2014,14,14,1,0,false,Hand,false,1,8,0.395,9.688,201501,0,1.241,11.525,2.152,2.354,0.203,0.253,0.405,0.101,0.456,1.797,true,1.190
113,00-0024242,DeAngelo Williams,RB,PIT,2016,7,7,1,0,false,Knee,false,1,8,0.661,16.075,201609,,0.439,12.250,0.091,0.030,1.195,,,,,,true,0.762
114,00-0024242,DeAngelo Williams,RB,PIT,2016,10,13,4,0,false,Knee,false,1,8,0.557,14.125,201616,,0.726,24.400,0.036,1.417,,,,,,,true,1.727
117,00-0024243,Marcedes Lewis,TE,JAX,2016,12,17,6,6,true,Unlabeled (IR),true,1,8,0.424,4.062,201701,0,1.900,7.050,2.360,1.912,1.251,2.077,1.959,1.770,2.053,1.841,true,1.735
119,00-0024268,Anthony Fasano,TE,KC,2013,14,15,2,0,false,Concussion,false,1,7,0.880,6.614,201316,0,1.068,6.500,1.057,1.034,1.045,1.136,1.023,1.068,0.864,0.966,true,0.983
121,00-0024272,Devin Hester,WR,ATL,2015,1,4,4,0,false,Toe,false,1,8,0.276,5.275,201514,,0.054,0.000,0.072,0.036,,,,,,,true,0.000
123,00-0024276,Tony Scheffler,TE,DET,2013,6,7,2,0,false,Concussion,false,1,4,0.198,1.900,,,,,,,,,,,,,false,
124,00-0024296,Charlie Whitehurst,QB,TEN,2015,1,16,14,14,true,Unlabeled (IR),false,2,8,0.650,9.720,201605,,1.046,9.380,1.046,,,,,,,,true,0.965
125,00-0024313,Owen Daniels,TE,BAL,2014,8,8,1,0,false,Knee,false,1,8,0.759,9.987,201409,0,1.143,5.750,0.988,1.213,1.186,1.186,1.278,1.252,1.278,1.199,true,0.576
126,00-0024318,Brad Smith,WR,PHI,2014,6,8,2,0,false,Groin,false,1,8,0.041,0.817,201410,0,3.394,0.000,4.364,2.182,1.939,5.091,0.485,0.485,1.939,1.212,true,0.000
129,00-0024334,Brandon Marshall,WR,CHI,2014,1,14,13,13,true,Ankle,false,1,8,0.916,19.263,201501,0,1.048,21.500,1.070,1.091,1.080,0.950,0.928,1.091,0.982,1.004,true,1.116
130,00-0024334,Brandon Marshall,WR,NYG,2017,6,17,11,11,true,Toe,true,1,8,0.854,6.488,201801,,0.712,7.125,0.761,0.937,0.726,0.422,0.141,0.445,0.035,,true,1.098
132,00-0024389,Delanie Walker,TE,TEN,2018,2,17,15,15,true,Unlabeled (IR),true,1,8,0.746,11.775,201901,,0.640,11.300,0.616,0.750,0.777,0.415,0.576,0.777,0.107,,true,0.960
133,00-0024389,Delanie Walker,TE,TEN,2019,8,17,8,5,false,Ankle,true,2,8,0.501,8.575,,,,,,,,,,,,,false,
136,00-0024466,Marques Colston,WR,NO,2015,17,17,1,0,false,Chest,true,1,8,0.621,9.712,,,,,,,,,,,,,false,
138,00-0024813,Pierre Thomas,RB,NO,2014,1,16,15,15,true,Rib,false,1,8,0.519,14.025,201509,,0.270,6.433,0.116,0.116,0.039,0.810,0.501,,,,true,0.459
139,00-0025394,Adrian Peterson,RB,MIN,2016,3,14,11,11,true,Knee,false,1,8,0.595,13.363,201615,5,0.349,2.850,0.353,0.252,0.387,0.403,0.134,1.244,0.908,1.294,true,0.213
140,00-0025394,Adrian Peterson,RB,MIN,2016,16,17,2,0,false,Knee,true,1,8,0.592,12.425,201701,4,0.295,2.625,0.253,0.388,0.405,0.135,1.249,0.911,1.300,0.759,true,0.211
141,00-0025394,Adrian Peterson,RB,ARI,2017,14,17,4,3,false,Neck,true,1,8,0.461,7.900,201801,4,0.867,15.200,1.149,0.737,1.127,0.455,1.149,1.236,1.301,0.997,true,1.924
142,00-0025396,Ted Ginn,WR,NO,2018,5,15,10,9,false,Knee,false,1,8,0.656,10.950,201816,1,0.926,11.000,0.625,1.128,0.914,1.036,1.082,0.975,1.021,1.067,true,1.005
143,00-0025399,Marshawn Lynch,RB,SEA,2015,5,5,1,0,false,Hamstring,false,1,8,0.662,15.862,201506,2,1.117,13.200,1.238,0.845,1.192,1.192,0.709,0.604,0.468,0.649,true,0.832
144,00-0025399,Marshawn Lynch,RB,SEA,2015,12,17,6,0,false,Abdomen,true,1,8,0.600,13.825,201701,,0.671,6.725,0.783,0.667,0.517,0.717,0.800,0.867,0.200,1.017,true,0.486
145,00-0025399,Marshawn Lynch,RB,OAK,2018,8,17,10,10,true,Unlabeled (IR),true,1,8,0.580,13.175,201917,,0.534,9.400,0.534,,,,,,,,true,0.713
148,00-0025410,Dwayne Bowe,WR,KC,2013,17,17,1,0,false,Concussion,true,1,8,0.798,11.225,201402,0,1.019,8.375,1.053,0.953,0.991,1.078,1.078,0.991,1.041,1.166,true,0.746
149,00-0025418,Greg Olsen,TE,CAR,2017,3,10,8,8,true,Unlabeled (IR),false,1,8,0.887,8.738,201712,1,0.890,8.575,0.383,1.037,1.093,1.048,1.048,0.270,1.104,1.127,true,0.981
150,00-0025418,Greg Olsen,TE,CAR,2018,2,5,3,0,false,Foot,false,1,8,0.764,5.913,201806,0,1.283,13.125,1.283,1.309,1.270,1.270,1.034,1.270,1.283,0.249,true,2.220
151,00-0025418,Greg Olsen,TE,CAR,2018,14,17,4,4,true,Foot,true,1,8,0.863,9.725,201901,0,1.026,13.150,1.090,0.962,0.928,1.125,1.136,1.043,0.904,1.067,true,1.352
152,00-0025418,Greg Olsen,TE,CAR,2019,14,15,2,0,false,Concussion,false,1,8,0.924,7.488,201916,,0.625,5.225,0.617,0.401,0.714,0.769,0.682,0.606,0.899,0.671,true,0.698
153,00-0025418,Greg Olsen,TE,SEA,2020,12,15,4,4,true,Foot,false,1,8,0.626,4.375,202016,,0.303,2.500,0.303,,,,,,,,true,0.571
155,00-0025425,Zach Miller,TE,SEA,2014,1,10,9,9,true,Ankle,false,1,8,0.828,7.714,,,,,,,,,,,,,false,
156,00-0025430,Drew Stanton,QB,ARI,2014,17,17,1,0,false,Knee,true,1,8,0.857,11.260,201503,,0.128,-0.087,0.047,0.327,0.012,0.128,0.082,0.198,0.478,0.210,true,-0.008
157,00-0025430,Drew Stanton,QB,CLE,2019,3,17,14,14,true,Knee,true,1,8,0.604,6.462,,,,,,,,,,,,,false,
160,00-0025460,Jacoby Jones,WR,SD,2015,3,4,2,0,false,Ankle,false,1,8,0.145,1.813,201506,,0.207,0.000,0.207,,,,,,,,true,0.000
162,00-0025464,Matt Spaeth,TE,PIT,2015,4,4,1,0,false,Hand,false,1,8,0.359,1.650,201505,4,0.794,0.700,1.115,0.725,0.780,0.557,0.864,1.505,0.557,0.585,true,0.424
163,00-0025464,Matt Spaeth,TE,PIT,2015,9,10,2,0,false,Knee,false,1,8,0.329,0.000,201512,0,0.958,1.600,0.943,1.643,0.608,0.639,0.456,0.760,,,true,
168,00-0025631,Jason Snelling,RB,ATL,2013,8,8,1,0,false,Ankle,false,1,5,0.344,11.700,201309,,0.305,3.800,0.116,0.610,0.203,0.291,0.233,0.291,0.814,0.930,true,0.325
170,00-0025708,Matt Moore,QB,MIA,2017,13,14,2,0,false,Foot,false,1,8,0.681,10.867,201901,1,1.028,10.615,0.191,0.983,1.468,1.468,0.029,0.015,,,true,0.977
172,00-0026019,Danny Woodhead,RB,SD,2014,1,3,3,3,true,Unlabeled (IR),false,1,8,0.439,12.725,201501,0,1.157,15.675,1.185,1.162,1.026,1.254,0.889,1.231,1.026,0.843,true,1.232
